,plate_forme,rating,nb_tokens,category_nps,category_numeric,adjs_counts,nouns_counts,pronouns_counts,prop_nouns_counts,adverbs_counts,verbs_counts,interjections_counts,symbols_counts
5472,CDISCOUNT,1,63,Détracteur,-1,0,11,8,0,5,13,0,0
5473,CDISCOUNT,5,12,Promoteur,1,4,3,0,0,1,1,0,0
5474,CDISCOUNT,1,37,Détracteur,-1,4,7,5,0,3,4,0,0
5475,CDISCOUNT,5,4,Promoteur,1,0,0,1,1,0,1,0,0
5476,CDISCOUNT,5,6,Promoteur,1,2,1,0,0,0,0,0,0
5477,CDISCOUNT,5,21,Promoteur,1,2,8,1,3,0,1,0,0
5478,CDISCOUNT,1,63,Détracteur,-1,2,15,7,1,3,5,0,0
5479,CDISCOUNT,1,62,Détracteur,-1,4,11,5,1,5,9,0,0
5480,CDISCOUNT,1,66,Détracteur,-1,5,12,5,1,5,11,0,0
5481,CDISCOUNT,1,50,Détracteur,-1,3,8,4,2,4,8,0,0
5482,CDISCOUNT,5,28,Promoteur,1,1,7,1,1,0,4,0,0
5483,CDISCOUNT,5,5,Promoteur,1,1,1,1,0,0,1,0,0
5484,CDISCOUNT,5,12,Promoteur,1,0,1,1,1,4,2,0,0
5485,CDISCOUNT,1,55,Détracteur,-1,3,9,7,0,1,10,0,0
5486,CDISCOUNT,5,10,Promoteur,1,4,1,1,0,0,2,0,0
5487,CDISCOUNT,5,2,Promoteur,1,1,1,0,0,0,0,0,0
5488,CDISCOUNT,2,67,Détracteur,-1,4,13,5,3,5,7,0,0
5489,CDISCOUNT,1,128,Détracteur,-1,5,14,8,1,8,17,0,0
5490,CDISCOUNT,1,246,Détracteur,-1,14,32,15,1,14,33,0,0
5491,CDISCOUNT,4,11,Promoteur,1,1,4,1,1,0,1,0,0
5492,CDISCOUNT,1,84,Détracteur,-1,8,12,8,3,9,9,0,0
5493,CDISCOUNT,5,5,Promoteur,1,0,0,1,1,2,1,0,0
5494,CDISCOUNT,1,63,Détracteur,-1,1,9,4,2,9,10,0,0
5495,CDISCOUNT,1,60,Détracteur,-1,4,15,3,1,5,10,0,0
5496,CDISCOUNT,2,42,Détracteur,-1,0,8,3,1,4,5,0,0
5497,CDISCOUNT,5,12,Promoteur,1,1,4,0,1,0,1,0,0
5498,CDISCOUNT,1,129,Détracteur,-1,3,24,10,7,11,14,0,0
5499,CDISCOUNT,1,93,Détracteur,-1,3,14,12,2,8,13,0,0
5500,CDISCOUNT,1,395,Détracteur,-1,15,53,21,1,24,47,0,0
5501,CDISCOUNT,1,84,Détracteur,-1,6,17,5,2,7,13,0,0
5502,CDISCOUNT,5,3,Promoteur,1,1,2,0,0,0,0,0,0
5503,CDISCOUNT,4,5,Promoteur,1,0,0,0,1,2,0,0,0
5504,CDISCOUNT,1,133,Détracteur,-1,6,26,13,2,5,13,0,0
5505,CDISCOUNT,5,55,Promoteur,1,2,10,6,1,8,7,0,0
5506,CDISCOUNT,5,25,Promoteur,1,0,2,6,0,0,7,0,0
5507,CDISCOUNT,1,11,Détracteur,-1,2,3,0,0,1,2,0,0
5508,CDISCOUNT,1,49,Détracteur,-1,2,11,7,0,1,5,0,0
5509,CDISCOUNT,4,2,Promoteur,1,1,1,0,0,0,0,0,0
5510,CDISCOUNT,5,27,Promoteur,1,2,9,1,1,2,1,0,0
5511,CDISCOUNT,5,10,Promoteur,1,4,2,0,0,1,1,0,0
5512,CDISCOUNT,5,15,Promoteur,1,0,4,0,2,2,1,0,0
5513,CDISCOUNT,2,56,Détracteur,-1,3,9,5,1,6,9,0,0
5514,CDISCOUNT,4,7,Promoteur,1,0,1,1,0,2,2,0,0
5515,CDISCOUNT,5,23,Promoteur,1,1,4,2,3,3,3,0,0
5516,CDISCOUNT,5,8,Promoteur,1,5,1,1,0,0,0,0,0
5517,CDISCOUNT,5,5,Promoteur,1,2,1,0,0,1,0,0,0
5518,CDISCOUNT,5,9,Promoteur,1,1,2,0,0,2,0,0,0
5519,CDISCOUNT,1,49,Détracteur,-1,2,6,4,3,4,7,0,0
5520,CDISCOUNT,5,5,Promoteur,1,1,1,1,0,0,1,0,0
5521,CDISCOUNT,5,25,Promoteur,1,1,4,3,1,5,3,0,0
5522,CDISCOUNT,5,5,Promoteur,1,1,2,0,0,0,0,0,0
5523,CDISCOUNT,5,6,Promoteur,1,0,3,0,0,0,0,0,0
5524,CDISCOUNT,5,3,Promoteur,1,0,0,0,0,1,1,0,0
